"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014764","PORTLAND JETPORT, ME US","2020-01-01","9.40",,"0.00","0.0","9.8","35","40","32","  260","  240","21.0","25.9",,,,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2020-01-02","5.59",,"0.00","0.0","9.8","34","41","30","  230","  230","13.0","15.0",,,,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2020-01-03","3.13",,"0.00","0.0","9.1","40","46","35","  240","  260","8.1","11.0",,,,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2020-01-04","4.47",,"0.17","0.0","7.9","38","41","34","   20","   20","13.0","17.0","    1",,,,,,"    1",
"USW00014764","PORTLAND JETPORT, ME US","2020-01-05","10.51",,"0.11","0.2","7.1","34","35","21","  320","  300","25.9","38.0","    1",,,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2020-01-06","3.80",,"0.00","0.0","7.1","22","26","14","   20","   20","10.1","13.0",,,,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2020-01-07","3.80",,"0.00","0.1","7.1","28","38","19","  290","  240","13.0","16.1","    1",,,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2020-01-08","9.17",,"0.03","0.5","7.1","32","39","27","  290","  300","23.9","33.1",,,,,,,"    1",
"USW00014764","PORTLAND JETPORT, ME US","2020-01-09","8.28",,"0.00","0.0","7.1","25","29","16","  290","  300","21.9","29.1",,,,,,,"    1",
"USW00014764","PORTLAND JETPORT, ME US","2020-01-10","5.14",,"0.00","0.0","7.1","28","43","16","  210","  220","16.1","23.9",,,,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2020-01-11","5.82",,"0.00","0.0","7.1","46","63","38","  230","  200","18.1","27.1",,,,,,,,
"USW00014764","PORTLAND JETPORT, ME US","2020-01-12","8.50",,"0.21","0.0","3.1","45","52","29","   30","   20","18.1","25.1","    1",,,,,,"    1",
"USW00014764","PORTLAND JETPORT, ME US","2020-01-13","6.71",,"0.00","0.0","3.1","27","29","24","  360","  350","16.1","21.9","    1",,,,,"    1","    1",
